Denominacion;Latitud;Longitud;COT 30 cm
5954;-39,465;-62,627778;36,36467837
5956;-39,408333;-62,427222;46,38184922
5958;-39,425;-62,561111;30,77004618
5959;-39,425556;-62,561111;65,6167066
6028;-36,05607;-58,149193;59,94872401
6031;-36,066258;-58,154555;116,7633972
6032;-36,113861;-58,202312;84,04372174
6035;-36,210982;-58,400448;89,55291595
6036;-36,141468;-58,60292;81,41189226
6037;-36,052543;-58,150287;115,0052511
6049;-36,1541;-58,008478;71,90590961
6079;-36,034082;-58,096524;58,29962171
6086;-36,433092;-58,028814;92,3379246
6088;-36,441694;-58,031846;76,0251675
6089;-36,448239;-58,025882;118,2754072
6090;-36,457497;-58,029255;81,5593904
6099;-36,245167;-58,621568;55,32845927
6100;-36,444573;-58,025715;50,18346384
6169;-37,654167;-62,310278;77,00329282
6179;-36,851392;-60,391119;125,020456
6180;-36,968803;-60,427469;33,81171077
6181;-36,977542;-60,41685;95,91311624
6182;-36,938142;-60,428192;118,0656718
6508;-38,038056;-58,243056;125,5974358
6512;-38,311944;-58,316111;125,4102839
6516;-38,232778;-58,446944;126,991582
6518;-38,217778;-58,1075;79,92556417
6523;-38,370278;-58,385278;107,004745
6524;-38,395;-58,399167;141,495102
6525;-38,443333;-58,498056;160,1693542
6560;-38,08255;-62,209778;85,72418431
6585;-37,913983;-58,063335;190,8920547
6606;-37,00984;-60,493166;120,8375346
6712;-38,258278;-62,144492;42,20026203
6713;-38,10075;-62,20875;137,7160359
6753;-37,823923;-58,310315;116,1357073
6780;-36,079768;-61,398288;45,16373037
6781;-36,052271;-61,393254;81,33782052
6782;-36,008483;-61,035135;49,2005822
6787;-36,009172;-61,033868;60,23151148
6788;-36,069067;-61,059552;30,12447236
6793;-36,215963;-61,447793;42,05412024
6797;-36,293459;-61,46939;26,5032866
6798;-36,200629;-61,030448;40,13883466
6799;-36,29598;-61,333802;93,94411461
6803;-36,160332;-60,538605;30,33444641
6808;-36,052525;-60,685574;45,72281249
6809;-36,067558;-60,699916;104,9186833
6823;-36,136443;-60,449896;104,1402073
6861;-36,091744;-59,542553;72,66901196
6865;-36,232516;-59,870494;68,02598353
6866;-36,308917;-59,90867;81,85913283
6868;-36,30372;-59,828327;74,26645255
6869;-36,267023;-59,720048;108,0238159
6872;-36,300198;-59,582734;47,18880784
6903;-37,522664;-58,178084;158,2590749
6906;-36,162241;-59,019553;35,83604622
6931;-36,312188;-59,012778;107,0710955
6939;-36,384854;-61,20609;69,75993272
6940;-36,384049;-61,206734;46,00166624
6941;-36,603375;-61,167872;98,82531787
6942;-36,585417;-61,213182;72,47780726
6969;-36,37228;-60,159408;37,39178263
6976;-36,342037;-60,143548;60,25103359
6978;-36,448218;-60,138604;72,22621667
6979;-36,428913;-60,157734;111,0710103
6990;-36,431018;-60,158228;119,0730806
6991;-36,454247;-60,146529;66,62047902
6992;-36,481587;-60,143517;92,87838095
6995;-36,439028;-60,156703;80,06720782
6996;-36,446395;-60,164944;33,05361382
6997;-36,437054;-60,161991;75,5086876
6998;-36,424939;-60,160471;124,4894473
7010;-36,440702;-60,176173;132,1809588
7012;-36,436364;-60,052396;95,9069684
7013;-36,44142;-60,050533;115,1654958
7018;-36,424652;-60,038339;70,42405009
7019;-36,343196;-60,008637;84,62156267
7024;-36,347207;-59,555846;75,84403121
7027;-36,464409;-59,635811;112,4662858
7034;-36,43207;-59,258866;60,21349498
7035;-36,477138;-59,334938;55,83045032
7036;-36,385389;-59,447961;86,98014446
7037;-36,478565;-59,492723;42,78438789
7038;-36,34646;-59,393158;128,5508112
7039;-36,345225;-59,380824;81,6672985
7040;-36,424833;-59,429986;91,07056163
7042;-36,389915;-59,109338;91,98348382
7043;-36,392894;-59,001934;63,34317424
7044;-36,430652;-59,08595;95,73152631
7045;-36,340494;-59,113563;44,07088406
7046;-36,343568;-59,185084;114,8557692
7047;-36,495846;-59,14304;166,2106379
2705;-37,945833;-57,929167;151,9197351
2706;-37,954444;-57,918611;130,4652678
6558;-37,819045;-57,832593;65,52375316
6563;-37,747256;-57,764127;104,5764823
6519;-38,151667;-57,761111;111,1629244
6555;-37,777339;-57,687996;126,3500682
38;-35,788333;-61,930833;65,74195036
6596;-35,632007;-61,242843;59,0055355
2624;-35,853653;-60,67295;36,04699013
2618;-35,771441;-60,40359;49,06548655
2040;-35,578889;-59,830833;106,1828809
2640;-35,828458;-58,890341;53,9114597
3231;-35,773889;-58,600806;70,00584435
3334;-35,650835;-58,467146;123,483081
2637;-35,945302;-58,634516;70,75366469
3304;-35,88044;-58,21514;108,2387513
3336;-35,646133;-58,330723;91,54059737
6123;-35,795047;-58,589029;36,52969462
6124;-35,761842;-58,703261;72,57776917
2639;-35,621425;-58,872165;65,70618891
6078;-36,142778;-57,836111;126,5845968
6082;-36,039882;-57,850821;126,9974237
6055;-36,144122;-57,763222;80,73553638
3867;-36,110733;-57,911259;64,2513577
6066;-36,161588;-57,881683;70,20310133
6058;-36,085028;-57,95612;54,92156932
6075;-36,102447;-57,969593;93,842944
2673;-36,034167;-57,868333;84,66649949
2744;-36,95952;-57,183922;118,7453168
2751;-37,255851;-57,294833;73,88285443
2691;-37,041111;-57,243056;39,05595607
2694;-36,621246;-56,96676;89,80463469
2693;-36,60017;-57,6168;48,60483809
6845;-37,509177;-57,610056;108,4072167
63;-35,629167;-63,28;32,64591777
199;-36,8375;-57,502778;87,66924401
2675;-36,429971;-57,428186;157,6526652
6845;-37,509177;-57,610056;108,4072167
6552;-37,689402;-57,600089;150,1095386
2626;-35,803839;-60,084861;27,76281207
2698;-35,616208;-61,819859;71,15814851
2684;-35,412888;-61,945901;44,64778579
1988;-35,622778;-60,896389;20,88282657
2125;-35,603611;-58,521944;91,97144176
2927;-36,292083;-57,464944;76,55125138
2748;-37,09804;-57,342109;151,268904
2699;-37,362429;-57,198039;144,87468
6815;-37,467707;-57,372329;127,4498976
2758;-37,614034;-57,335806;77,90497083
2654;-36,23828;-57,449011;76,16545544
2001;-35,535278;-60,535;13,3480693
2625;-35,934283;-60,356272;107,4027697
2630;-35,973333;-60,241667;21,07071248
6539;-37,890898;-57,641456;99,9643717
6534;-37,865524;-57,6438;57,56733837
